2026.05.10
0,1,0,1,0,0,1,1,0,1
1,1,0,0,1,1,0,0,0,0
0,0,1,1,0,1,0,0,1,1
1,0,1,0,1,1,0,1,0,0
0,1,0,1,0,0,1,1,1,0
1,0,1,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1,1,0
1,0,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0
1,0,1,0,1,1,0,0,1,0
0,0,1,1,0,1,1,0,0,1
1,1,0,0,1,0,1,1,0,0
0,1,0,1,0,1,0,0,1,1
1,0,1,0,1,0,1,0,0,1
0,1,0,0,1,1,0,1,0,0
2026.05.11
1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1
1,1,0,0,1,0,1,1,0,0
0,0,1,1,0,1,0,0,1,1
1,0,0,1,1,0,1,0,0,1
0,1,1,0,0,1,0,1,1,0
1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1
1,0,1,1,0,0,1,0,0,1
0,1,0,0,1,1,0,1,0,0
1,1,0,1,0,0,1,1,0,1
0,0,1,0,1,1,0,0,1,0
1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0
1,0,0,1,0,1,0,0,1,1
2026.05.12
0,0,1,1,0,1,1,0,0,1
1,1,0,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1
1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0
0,1,0,1,1,0,0,1,0,0
1,0,1,0,0,1,1,0,1,0
0,1,1,0,1,0,0,1,1,0
1,0,0,1,0,1,0,0,1,1
0,1,0,0,1,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1
2026.05.13
1,1,0,0,1,1,0,0,1,0
0,0,1,1,0,0,1,1,0,1
1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1
1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,1,0
0,0,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,1,1,0
0,1,1,0,1,0,0,1,0,1
1,0,0,1,1,0,1,0,0,1
0,1,0,0,1,1,0,1,1,0
1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0
2026.05.14
0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,0,1,0,1
0,1,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,1,1,0
0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,1,0
1,0,1,0,1,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0
1,0,1,0,0,1,1,0,1,0
0,1,1,0,1,0,0,1,1,0
1,0,0,1,0,1,0,0,1,1
0,1,0,0,1,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1
